id,title,authors,year,venue,url,abstract
5y8R8XSHkG,Smoothie: Smoothing Diffusion on Token Embeddings for Text Generation,Alexander Shabalin; Viacheslav Meshchaninov; Dmitry Vetrov,2025,Submitted to ICLR 2026,https://openreview.net/forum?id=5y8R8XSHkG,"Diffusion models have achieved state-of-the-art performance in generating images, audio, and video, but their adaptation to text remains challenging due to its discrete nature. Prior approaches either apply Gaussian diffusion in continuous latent spaces, which inherits semantic structure but struggles with token decoding, or operate in categorical simplex space, which respect discreteness but disregard semantic relation between tokens. In this paper, we propose Smoothing Diffusion on Token Embeddings (Smoothie), a novel diffusion method that combines the strengths of both approaches by progressively smoothing token embeddings based on semantic similarity. This technique enables gradual information removal while maintaining a natural decoding process. Experimental results on several sequence-to-sequence generation tasks demonstrate that Smoothie outperforms existing diffusion-based models in generation quality. Furthermore, ablation studies show that our proposed diffusion space yields better performance than both the standard embedding space and the categorical simplex."
r6jzGWqalX,Sequential Diffusion Language Models,Yangzhou Liu; Yue Cao; Hao Li; Gen Luo; Zhe Chen; Weiyun Wang; Xiaobo Liang; Biqing Qi; Lijun Wu; Changyao Tian; Yanting Zhang; Yuqiang Li; Tong Lu; Yu Qiao; Jifeng Dai; Wenhai Wang,2025,Submitted to ICLR 2026,https://openreview.net/forum?id=r6jzGWqalX,"Diffusion language models (DLMs) have strong theoretical efficiency but are limited by fixed-length decoding and incompatibility with key-value (KV) caches. Block diffusion mitigates these issues, yet still enforces a fixed block size and requires expensive training. We introduce Next Sequence Prediction (NSP), which unifies next-token and next-block prediction, enabling the model to adaptively determine the generation length at each step. When the length is fixed to 1, NSP reduces to standard next-token prediction. Building on NSP, we propose Sequential Diffusion Language Model (SDLM), which can retrofit pre-trained autoregressive language models (ALMs) at minimal cost. Specifically, SDLM performs diffusion inference within fixed-size mask blocks, but dynamically decodes consecutive subsequences based on model confidence, thereby preserving KV-cache compatibility and improving robustness to varying uncertainty and semantics across the sequence. Experiments show that SDLM matches or surpasses strong autoregressive baselines using only 3.5M training samples, while achieving 2.1× higher throughput than Qwen-2.5. Notably, the SDLM-32B model delivers even more pronounced efficiency gains, demonstrating the strong scalability potential of our modeling paradigm. Code and models will be released."
tyEyYT267x,Block Diffusion: Interpolating Between Autoregressive and Diffusion Language Models,Marianne Arriola; Aaron Gokaslan; Justin T Chiu; Zhihan Yang; Zhixuan Qi; Jiaqi Han; Subham Sekhar Sahoo; Volodymyr Kuleshov,2024,ICLR 2025 Oral,https://openreview.net/forum?id=tyEyYT267x,"Diffusion language models offer unique benefits over autoregressive models due to their potential for parallelized generation and controllability, yet they lag in likelihood modeling and are limited to fixed-length generation. In this work, we introduce a class of block diffusion language models that interpolate between discrete denoising diffusion and autoregressive models. Block diffusion overcomes key limitations of both approaches by supporting flexible-length generation and improving inference efficiency with KV caching and parallel token sampling. We propose a recipe for building effective block diffusion models that includes an efficient training algorithm, estimators of gradient variance, and data-driven noise schedules to minimize the variance. Block diffusion sets a new state-of-the-art performance among diffusion models on language modeling benchmarks and enables generation of arbitrary-length sequences. We provide the code, along with the model weights and blog post on the project page: https://m-arriola.com/bd3lms/"
JESNfpRIGj,Simple and Effective Masked Diffusion Language Models,Subham Sekhar Sahoo; Marianne Arriola; Aaron Gokaslan; Edgar Mariano Marroquin; Alexander M Rush; Yair Schiff; Justin T Chiu; Volodymyr Kuleshov,2024,2nd SPIGM @ ICML Poster,https://openreview.net/forum?id=JESNfpRIGj,"While diffusion models excel at generating high-quality images, prior work reports a significant performance gap between diffusion and autoregressive (AR) methods in language modeling. In this work, we show that simple masked discrete diffusion is more performant than previously thought. We apply an effective training recipe that improves the performance of masked diffusion models and derive a simplified, Rao-Blackwellized objective that results in additional improvements. Our objective has a simple form—it is a mixture of classical masked language modeling losses—and can be used to train encoder-only language models that admit efficient samplers, including ones that can generate arbitrary lengths of text semi-autoregressively like a traditional language model. On language modeling benchmarks, a range of masked diffusion models trained with modern engineering practices achieves a new state-of-the-art among diffusion models, and approaches AR perplexity. We release our code at: https://github.com/kuleshov-group/mdlm"
DdU9gP4EXW,Simple and Effective Masked Diffusion Language Models,Subham Sekhar Sahoo; Marianne Arriola; Aaron Gokaslan; Edgar Mariano Marroquin; Alexander M Rush; Yair Schiff; Justin T Chiu; Volodymyr Kuleshov,2024,AccMLBio Spotlight,https://openreview.net/forum?id=DdU9gP4EXW,"While diffusion models excel at generating high-quality images, prior work reports a significant performance gap between diffusion and autoregressive (AR) methods in language modeling. In this work, we show that simple masked discrete diffusion is more performant than previously thought. We apply an effective training recipe that improves the performance of masked diffusion models and derive a simplified, Rao-Blackwellized objective that results in additional improvements. Our objective has a simple form—it is a mixture of classical masked language modeling losses—and can be used to train encoder-only language models that admit efficient samplers, including ones that can generate arbitrary lengths of text semi-autoregressively like a traditional language model. On language modeling benchmarks, a range of masked diffusion models trained with modern engineering practices achieves a new state-of-the-art among diffusion models, and approaches AR perplexity. We release our code at: https://github.com/kuleshov-group/mdlm"
0qjwNGKCxr,,,2023,,https://openreview.net/forum?id=NKdtztladR,
N2FwqQHdiG,,,2025,,https://openreview.net/forum?id=3D88hCO0Gd,
5jneOToPou,Encoder-Decoder Diffusion Language Models for Efficient Training and Inference,Marianne Arriola; Yair Schiff; Hao Phung; Aaron Gokaslan; Volodymyr Kuleshov,2025,NeurIPS 2025 poster,https://openreview.net/forum?id=5jneOToPou,"Discrete diffusion models enable parallel token sampling for faster inference than autoregressive approaches. However, prior diffusion models use a decoder-only architecture, which requires sampling algorithms that invoke the full network at every denoising step and incur high computational cost. Our key insight is that discrete diffusion models perform two types of computation: 1) representing clean tokens and 2) denoising corrupted tokens, which enables us to use separate modules for each task. We propose an encoder-decoder architecture to accelerate discrete diffusion inference, which relies on an encoder to represent clean tokens and a lightweight decoder to iteratively refine a noised sequence. We also show that this architecture enables faster training of block diffusion models, which partition sequences into blocks for better quality and are commonly used in diffusion language model inference. We introduce a framework for **E**fficient **E**ncoder-**D**ecoder **D**iffusion (E2D2), consisting of an architecture with specialized training and sampling algorithms, and we show that E2D2 achieves superior trade-offs between generation quality and inference throughput on summarization, translation, and mathematical reasoning tasks."
aOAgMiOXU2,Code diffusion models are continuous human noise operators,Mukul Singh; Gust Verbruggen; Vu Le; Sumit Gulwani,2024,Submitted to ICLR 2025,https://openreview.net/forum?id=aOAgMiOXU2,"Diffusion for code generates code by iteratively removing noise from the latent representation of a code snippet.
During later steps of the diffusion process, when the code snippet has almost converged, these edits resemble last-mile repairs applied to broken or incomplete code. We evaluate the extent to which these errors are similar to those that humans are faced with and the capability of these models to perform last-mile repair. Our insight has two applications with significant impact for code repair. First, we can leverage the diffusion model for last-mile repair by adding noise to a broken code snippet and resuming the diffusion process. Second, we can leverage the diffusion model to generate an arbitrary amount of training data for other last-mile repair approaches (that are computationally more efficient) by sampling an intermediate program (input) and the final program (output) from the diffusion process. We perform experiments to evaluate both applications, as well as analyze trends in the evolution of representation through the diffusion pipeline providing insights on the reasoning observed."
48w5ic40TB,Response to Reviewer MZYg (1/2),,2024,,https://openreview.net/forum?id=DJSZGGZYVi,
08ooonUcvc,Response to Reviewer K7ig (1/2),,2024,,https://openreview.net/forum?id=DJSZGGZYVi,
onJjYSuBj4,Response to Reviewer XnZq (2/3),,2024,,https://openreview.net/forum?id=DJSZGGZYVi,
lY7CPgCGwz,Response to Reviewer U4Y4 (1/2),,2024,,https://openreview.net/forum?id=DJSZGGZYVi,
lzsoAe14mi,Enable Fast Sampling for Seq2Seq Text Diffusion,Pan Liu; Xiaohua Tian; Zhouhan Lin,2024,EMNLP (Findings) 2024,https://openreview.net/forum?id=lzsoAe14mi,"Diffusion models exhibit promising capacity for generating high-quality text. However, owing to the curved nature of generation path, they necessitate traversing numerous steps to guarantee the text quality. In this paper, we propose an efficient model FMSeq, which utilizes flow matching to straighten the generation path, thereby enabling fast sampling for diffusion-based seq2seq text generation. Specifically, we construct transport flow only on the target sequences to adapt the diffusion-based model with flow matching. Furthermore, we explore different settings and identify target-parameterization, self-conditioning and time-difference as three effective techniques to improve the generation quality under a few steps. Experiments on four popular tasks demonstrate that FMSeq generates texts of comparable quality to the SOTA diffusion-based DiffuSeq in just 10 steps, achieving a 200-fold speedup."
j5BSos0fxa,,,2024,,https://openreview.net/forum?id=Xe6UmKMInx,
0Cwcdx9vTv,Common concerns,,2025,,https://openreview.net/forum?id=ObXB7KJn0B,
k8yvbE7Cyx,,,2024,,https://openreview.net/forum?id=Xe6UmKMInx,
ZqHxJnqo8y,DiffusPoll: Conditional Text Diffusion Model for Poll Generation,Le Cheng; Shuangyin Li,2024,ACL (Findings) 2024,https://openreview.net/forum?id=ZqHxJnqo8y,"Online social media platforms often gather user feedback through polls to enhance user engagement. Automatically generating polls from social media and its context can decrease the labor expenses of media workers and enhance workplace productivity. However, on social media platforms, there are internet water armies that manipulate public opinion through sheer numbers and causing the comments to be biased, drowning out minority views. In such circumstances, polls created based on biased comments often have limited types of options and poor coverage. Therefore, it is crucial to diversify the poll options and try to listen to the voices of the minority. To achieve this, we introduce DiffusPoll, a novel paradigm for poll generation based on a non-autoregressive diffusion model that can generate diversified and high-quality samples. Under the new paradigm, we design a task-specific mask strategy tailored to the inherent logic of polls to optimize controlled generation. Furthermore, we also leverage additional attribute tags from comments to enhance the generation quality. Experimental results indicate that DiffusPoll has achieved state-of-the-art performance in both the quality and diversity of poll generation tasks, and is more likely to hit the voices of minority."
jdbHJk8j3h,,,2023,,https://openreview.net/forum?id=NKdtztladR,
mxpDNw57CT,Paper Decision,,2025,,https://openreview.net/forum?id=Rv6Lz84FlZ,
Rv6Lz84FlZ,Cosmos: Compressed and Smooth Latent Space for Text Diffusion Modeling,Viacheslav Meshchaninov; Egor Chimbulatov; Alexander Shabalin; Aleksandr Abramov; Dmitry Vetrov,2025,NeurIPS 2025 poster,https://openreview.net/forum?id=Rv6Lz84FlZ,"Autoregressive language models dominate modern text generation, yet their sequential nature introduces fundamental limitations: decoding is slow, and maintaining global coherence remains challenging. Diffusion models offer a promising alternative by enabling parallel generation and flexible control; however, their application to text generation is hindered by the high dimensionality of token-level representations.
  We introduce Cosmos, a novel approach to text generation that operates entirely in a compressed, smooth latent space tailored specifically for diffusion. This space is learned using an autoencoder trained simultaneously for token-level reconstruction and alignment with frozen activations from a pretrained language encoder, providing robust semantic grounding and enabling effective perturbation‑based augmentations.
  Empirically, we demonstrate that text representations can be compressed up to $8\times$ while maintaining generation quality comparable to token‑level diffusion models. Furthermore, increasing the latent sequence length allows \textsc{Cosmos} to surpass both diffusion‑based and autoregressive baselines. We evaluate Cosmos on four diverse generative tasks including story generation, question generation, summarization, and detoxification and compare it with various generative paradigms.
  Cosmos achieves comparable or superior generation quality while offering more than $2\times$ faster inference. Code is released at https://github.com/MeshchaninovViacheslav/cosmos."
IbE5uddG15,,,2025,,https://openreview.net/forum?id=3D88hCO0Gd,
LmQw7hEUkk,InfoDiffusion: Information Entropy Aware Diffusion Process for Non-Autoregressive Text Generation,Renzhi Wang; Jing Li; Piji Li,2023,EMNLP (Findings) 2023,https://openreview.net/forum?id=LmQw7hEUkk,"Diffusion models have garnered considerable interest in the field of text generation. Several studies have explored text diffusion models with different structures and applied them to various tasks, including named entity recognition and summarization. However, there exists a notable disparity between the “easy-first” text generation process of current diffusion models and the “keyword-first” natural text generation process of humans, which has received limited attention. To bridge this gap, we propose InfoDiffusion, a non-autoregressive text diffusion model. Our approach introduces a “keyinfo-first” generation strategy and incorporates a noise schedule based on the amount of text information. In addition, InfoDiffusion combines self-conditioning with a newly proposed partially noising model structure. Experimental results show that InfoDiffusion outperforms the baseline model in terms of generation quality and diversity, as well as exhibiting higher sampling efficiency."
8IrFLWRvuW,InfoDiffusion: Information Entropy Aware Diffusion Process for Non-Autoregressive Text Generation,Renzhi Wang; Jing Li; Piji Li,2023,EMNLP 2023 Findings,https://openreview.net/forum?id=8IrFLWRvuW,"Diffusion models have garnered considerable interest in the field of text generation. Several studies have explored text diffusion models with different structures and applied them to various tasks, including named entity recognition and summarization. However, there exists a notable disparity between the ""easy-first"" text generation process of current diffusion models and the ""keyword-first"" natural text generation process of humans, which has received limited attention. To bridge this gap, we propose InfoDiffusion, a non-autoregressive text diffusion model. Our approach introduces a ""keyinfo-first"" generation strategy and incorporates a noise schedule based on the amount of text information. In addition, InfoDiffusion combines self-conditioning with a newly proposed partially noising model structure. Experimental results show that InfoDiffusion outperforms the baseline model in terms of generation quality and diversity, as well as exhibiting higher sampling efficiency."
Yq6gDoRDQH,Paper Decision,,2025,,https://openreview.net/forum?id=MR7Fn23hSE,
TMvaWtgXbg,Unifying Continuous and Discrete Text Diffusion with Non-simultaneous Diffusion Processes,Bocheng Li; Zhujin Gao; Linli Xu,2025,ACL (1) 2025,https://openreview.net/forum?id=TMvaWtgXbg,"Diffusion models have emerged as a promising approach for text generation, with recent works falling into two main categories: discrete and continuous diffusion models. Discrete diffusion models apply token corruption independently using categorical distributions, allowing for different diffusion progress across tokens but lacking fine-grained control. Continuous diffusion models map tokens to continuous spaces and apply fine-grained noise, but the diffusion progress is uniform across tokens, limiting their ability to capture semantic nuances. To address these limitations, we propose Non-simultaneous Continuous Diffusion Models (NeoDiff), a novel diffusion model that integrates the strengths of both discrete and continuous approaches. NeoDiff introduces a Poisson diffusion process for the forward process, enabling a flexible and fine-grained noising paradigm, and employs a time predictor for the reverse process to adaptively modulate the denoising progress based on token semantics. Furthermore, NeoDiff utilizes an optimized schedule for inference to ensure more precise noise control and improved performance. Our approach unifies the theories of discrete and continuous diffusion models, offering a more principled and effective framework for text generation. Experimental results on several text generation tasks demonstrate NeoDiff’s superior performance compared to baselines of non-autoregressive continuous and discrete diffusion models, iterative-based methods and autoregressive diffusion-based methods. These results highlight NeoDiff’s potential as a powerful tool for generating high-quality text and advancing the field of diffusion-based text generation."
fJyz6DMieP,Thank you for your constructive engagement.,,2025,,https://openreview.net/forum?id=Rv6Lz84FlZ,
Lk3ImRuHNR,,,2024,,https://openreview.net/forum?id=NTWXVvIXJM,
RFgAQtkIbS,,,2025,,https://openreview.net/forum?id=5y8R8XSHkG,
VAQWWHDNkm,Flexible-length Text Infilling for Discrete Diffusion Models,Andrew Zhang; Anushka Sivakumar; Chia-Wei Tang; Chris Thomas,2025,EMNLP 2025 Main,https://openreview.net/forum?id=VAQWWHDNkm,"Discrete diffusion models are a new class of text generators that offer advantages such as bidirectional context use, parallelizable generation, and flexible prompting compared to autoregressive models. However, a critical limitation of discrete diffusion models is their inability to perform flexible-length or flexible-position text infilling without access to ground-truth positional data. We introduce DDOT (Discrete Diffusion with Optimal Transport Position Coupling), the first discrete diffusion model to overcome this challenge. DDOT jointly denoises token values and token positions, employing a novel sample-level Optimal Transport (OT) coupling. This coupling preserves relative token ordering while dynamically adjusting the positions and length of infilled segments, a capability previously missing in text diffusion. Our method is orthogonal to existing discrete text diffusion methods and is compatible with various pretrained text denoisers. Extensive experiments on text infilling benchmarks such as One-Billion-Word and Yelp demonstrate that DDOT outperforms naive diffusion baselines. Furthermore, DDOT achieves performance on par with state-of-the-art non-autoregressive models and enables significant improvements in training efficiency and flexibility."
HNWpn7F0Yb,Summary of Contributions and Revisions,,2025,,https://openreview.net/forum?id=5y8R8XSHkG,
NRxPkSrSYA,Leveraging Pretrained Language Models as Energy Functions for Glauber Dynamics Text Diffusion,,2026,ACL ARR 2026 January Submission,https://openreview.net/forum?id=NRxPkSrSYA,"We present a discrete diffusion-based generative model for text generation using Glauber dynamics from statistical physics. Our main insight is that instead of trying to train a discrete state space diffusion model using Glauber dynamics with a uniform transition kernel as the forward process, one can set up an ``energy function'' based on pretrained causal/masked language models, which, when viewed as the stationary distribution, allows us to significantly improve the quality of the generated text. Using UL2 as our pretrained models and modifying and incorporating it into our diffusion pipeline, we obtain significantly better perplexities than prior diffusion-based text generative models and are competitive with the perplexities of GPT-2-medium and GPT-2-large for comparable model sizes. Furthermore, our models outperform prior diffusion models and GPT-2 style auto-regressive models on some zero-shot common sense reasoning tasks as well as some planning/search tasks."
36mBisVUSQ,Leveraging Pretrained Language Models as Energy Functions for Glauber Dynamics Text Diffusion,Tarun Kathuria; Sachin Kumar,2025,ICLR 2026 Conference Desk Rejected Submission,https://openreview.net/forum?id=36mBisVUSQ,"We present a discrete diffusion-based generative model for text generation using Glauber dynamics from statistical physics. Our main insight is that instead of trying to train a discrete state space diffusion model using Glauber dynamics with a uniform transition kernel as the forward process, one can set up an ``energy function'' based on pretrained causal/masked language models, which, when viewed as the stationary distribution, allows us to significantly improve the quality of the generated text. Using UL2 as our pretrained models and modifying and incorporating it into our diffusion pipeline, we obtain significantly better perplexities than prior diffusion-based text generative models and are competitive with the perplexities of GPT-2-medium and GPT-2-large for comparable model sizes. Furthermore, our models outperform prior diffusion models and GPT-2 style auto-regressive models on some zero-shot common sense reasoning tasks as well as some planning/search tasks."
mFN0z1CaaI,,,2025,,https://openreview.net/forum?id=97IeQrvSqb,
AaYEYETUSq,,,2025,,https://openreview.net/forum?id=ObXB7KJn0B,
4PVSbCM1CC,Paper Decision,,2025,,https://openreview.net/forum?id=Jp988ELppQ,
NiGVY36noF,Meta-DiffuB: A Contextualized Sequence-to-Sequence Text Diffusion Model with Meta-Exploration,Yun-Yen Chuang; Hung-Min Hsu; Kevin Lin; Chen-Sheng Gu; Ling Zhen Li; Ray-I Chang; Hung-yi Lee,2024,NeurIPS 2024,https://openreview.net/forum?id=NiGVY36noF,"The diffusion model, a new generative modeling paradigm, has achieved significant success in generating images, audio, video, and text. It has been adapted for sequence-to-sequence text generation (Seq2Seq) through DiffuSeq, termed the S2S-Diffusion model. Existing S2S-Diffusion models predominantly rely on fixed or hand-crafted rules to schedule noise during the diffusion and denoising processes. However, these models are limited by non-contextualized noise, which fails to fully consider the characteristics of Seq2Seq tasks. In this paper, we propose the Meta-Diffu$B$ framework—a novel scheduler-exploiter S2S-Diffusion paradigm designed to overcome the limitations of existing S2S-Diffusion models. We employ Meta-Exploration to train an additional scheduler model dedicated to scheduling contextualized noise for each sentence. Our exploiter model, an S2S-Diffusion model, leverages the noise scheduled by our scheduler model for updating and generation. Meta-Diffu$B$ achieves state-of-the-art performance compared to previous S2S-Diffusion models and fine-tuned pre-trained language models (PLMs) across four Seq2Seq benchmark datasets. We further investigate and visualize the impact of Meta-Diffu$B$'s noise scheduling on the generation of sentences with varying difficulties. Additionally, our scheduler model can function as a ""plug-and-play"" model to enhance DiffuSeq without the need for fine-tuning during the inference stage."
4Q63mEdvF9,,,2025,,https://openreview.net/forum?id=ue1zFeD275,
MZjdEaNkXl,,,2023,,https://openreview.net/forum?id=1pTlvxIfuV,
hjuengPMYp,,,2023,,https://openreview.net/forum?id=71mqtQdKB9,
NTWXVvIXJM,Meta-Diffu$B$: A Contextualized Sequence-to-Sequence Text Diffusion Model with Meta-Exploration,Yunyen Chuang; Hung-Min Hsu; Kevin Lin; Chen-Sheng Gu; Ling Zhen Li; Ray-I Chang; Hung-yi Lee,2024,NeurIPS 2024 poster,https://openreview.net/forum?id=NTWXVvIXJM,"The diffusion model, a new generative modeling paradigm, has achieved significant success in generating images, audio, video, and text. It has been adapted for sequence-to-sequence text generation (Seq2Seq) through DiffuSeq, termed the S2S-Diffusion model. Existing S2S-Diffusion models predominantly rely on fixed or hand-crafted rules to schedule noise during the diffusion and denoising processes. However, these models are limited by non-contextualized noise, which fails to fully consider the characteristics of Seq2Seq tasks. In this paper, we propose the Meta-Diffu$B$ framework—a novel scheduler-exploiter S2S-Diffusion paradigm designed to overcome the limitations of existing S2S-Diffusion models. We employ Meta-Exploration to train an additional scheduler model dedicated to scheduling contextualized noise for each sentence. Our exploiter model, an S2S-Diffusion model, leverages the noise scheduled by our scheduler model for updating and generation. Meta-Diffu$B$ achieves state-of-the-art performance compared to previous S2S-Diffusion models and fine-tuned pre-trained language models (PLMs) across four Seq2Seq benchmark datasets. We further investigate and visualize the impact of Meta-Diffu$B$'s noise scheduling on the generation of sentences with varying difficulties. Additionally, our scheduler model can function as a ""plug-and-play"" model to enhance DiffuSeq without the need for fine-tuning during the inference stage."
26QyOY3EFT,General Response & Summary of Rebuttal,,2025,,https://openreview.net/forum?id=Rv6Lz84FlZ,
u8pOFUaSFw,,,2023,,https://openreview.net/forum?id=SLwy8UVS8Y,
miLA7EEsGP,W5. On information placed in the appendix,,2025,,https://openreview.net/forum?id=wNAUAPfceN,
oTQ0lsgbLd,,,2025,,https://openreview.net/forum?id=Jp988ELppQ,
HPQQ0LIyEv,,,2024,,https://openreview.net/forum?id=uZ5K4HeNwd,
7kYiKIVpvw,,,2023,,https://openreview.net/forum?id=eO6lXIWyxn,
upacSR41UE,Part 1,,2025,,https://openreview.net/forum?id=YOZBEyTgLe,
kjPvCTNSd9,,,2025,,https://openreview.net/forum?id=P7OzWxOUHK,
FgmgC5gUbt,,,2023,,https://openreview.net/forum?id=SLwy8UVS8Y,
aTMnhKBb83,,,2025,,https://openreview.net/forum?id=5y8R8XSHkG,
S9gi1tcvxs,,,2024,,https://openreview.net/forum?id=Ir6JxcuP6H,
v2H3nOJepW,"Review, Remask, Refine: Process-Guided Block Diffusion for Text Generation",Nikita Mounier; Parsa Idehpour,2025,MOSS@ICML2025,https://openreview.net/forum?id=v2H3nOJepW,"A key challenge for iterative text generation is enabling models to efficiently identify and correct their own errors. We propose Review, Remask, Refine (R3), a relatively simple yet elegant framework that requires no additional model training and can be applied to any pre-trained masked text diffusion model (e.g., LLaDA or BD3-LM). In R3, a Process Reward Model (PRM) is utilized for the $\textbf{Review}$ of intermediate generated blocks. The framework then translates these PRM scores into a $\textbf{Remask}$ strategy: the lower a block's PRM score, indicating potential mistakes, the greater the proportion of tokens within that block are remasked. Finally, the model is compelled to $\textbf{Refine}$ these targeted segments, focusing its efforts more intensively on specific sub-optimal parts of past generations, leading to improved final output."
c1YGZCuPPs,,,2024,,https://openreview.net/forum?id=NTWXVvIXJM,
dRZoW1geOI,,,2025,,https://openreview.net/forum?id=Y6NULorfY2,
NPBDo8BSIC,TESS: Text-to-Text Self-Conditioned Simplex Diffusion,Rabeeh Karimi Mahabadi; Hamish Ivison; Jaesung Tae; James Henderson; Iz Beltagy; Matthew E. Peters; Arman Cohan,2024,EACL (1) 2024,https://openreview.net/forum?id=NPBDo8BSIC,"Diffusion models have emerged as a powerful paradigm for generation, obtaining strong performance in various continuous domains. However, applying continuous diffusion models to natural language remains challenging due to its discrete nature and the need for a large number of diffusion steps to generate text, making diffusion-based generation expensive.In this work, we propose Text-to-text Self-conditioned Simplex Diffusion (TESS), a text diffusion model that is fully non-autoregressive, employs a new form of self-conditioning, and applies the diffusion process on the logit simplex space rather than the learned embedding space.Through extensive experiments on natural language understanding and generation tasks including summarization, text simplification, paraphrase generation, and question generation, we demonstrate that TESS outperforms state-of-the-art non-autoregressive models, requires fewer diffusion steps with minimal drop in performance, and is competitive with pretrained autoregressive sequence-to-sequence models."
gjB63THqk3,,,2025,,https://openreview.net/forum?id=srmeRwypbY,
